,Area_Name,Year,Sub_Group_Name,Cases_Acquitted_or_Discharged,Cases_charge_sheets_were_not_laid_but_Final_Report_submitted,Cases_Chargesheeted,Cases_Compounded_or_Withdrawn,Cases_Convicted,Cases_Declared_False_on_Account_of_Mistake_of_Fact_or_of_Law,Cases_Investigated_Chargesheets+FR_Submitted,Cases_not_Investigated_or_in_which_investigation_was_refused,Cases_Pending_Investigation_at_Year_End,Cases_Pending_Investigation_from_previous_year,Cases_Pending_Trial_at_Year_End,Cases_Pending_Trial_from_the_previous_year,Cases_Reported,Cases_Sent_for_Trial,Cases_Trials_Completed,Cases_Withdrawn_by_the_Govt,Cases_withdrawn_by_the_Govt_during_investigation,Total_Cases_for_Trial,Persons_Acquitted,Persons_against_whom_cases_Compounded_or_Withdrawn,Persons_Arrested,Persons_Chargesheeted,Persons_Convicted,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_beginning,Persons_in_Custody_or_on_Bail_during_Investigation_at_Year_end,Persons_in_Custody_or_on_Bail_during_Trial_at_Year_End,Persons_Released_or_Freed_by_Police_or_Magistrate_before_Trial_for_want_of_evidence_or_any_other_reason,Persons_Trial_Completed,Persons_under_Trial_at_Year_beginning,Total_Persons_under_Trial
0,Andaman & Nicobar Islands,2001,01. Rape,5,2,3,0,0,0,5,0,1,3,34,36,3,3,5,0,0,39,6,0,3,3,0,6,6,45,0,6,48,51
1,Andhra Pradesh,2001,01. Rape,731,22,769,35,197,74,791,3,393,390,1974,2170,871,769,928,2,0,2937,1168,13,1150,1021,246,450,545,2191,34,1414,2597,3618
2,Arunachal Pradesh,2001,01. Rape,1,2,25,0,2,0,27,0,18,12,282,260,33,25,3,0,0,285,1,0,51,31,2,25,30,347,15,3,319,350
3,Assam,2001,01. Rape,334,95,495,10,101,45,590,0,1045,863,1964,1914,817,495,435,0,0,2409,403,14,928,585,120,806,959,2331,190,523,2283,2868
4,Bihar,2001,01. Rape,406,141,685,0,155,105,826,0,488,531,3185,3061,888,685,561,0,0,3746,756,0,1400,1302,217,719,576,5963,241,973,5634,6936
5,Chandigarh,2001,01. Rape,9,0,16,0,2,2,16,0,1,1,34,29,18,16,11,0,0,45,12,0,32,31,2,0,0,59,1,14,42,73
6,Chhattisgarh,2001,01. Rape,520,15,976,1,158,11,991,1,86,130,3966,3669,959,976,678,0,0,4645,636,67,1134,1213,276,116,37,4918,0,912,4684,5897
7,Dadra & Nagar Haveli,2001,01. Rape,0,0,8,0,1,0,8,0,1,3,21,14,6,8,1,0,0,22,9,0,10,11,1,2,1,32,0,10,31,42
8,Daman & Diu,2001,01. Rape,3,0,1,0,0,0,1,0,0,1,1,3,0,1,3,0,0,4,3,0,0,1,0,1,0,1,0,3,3,4
9,Delhi,2001,01. Rape,80,65,361,0,29,1,426,0,197,243,1651,1399,381,361,109,0,0,1760,166,0,454,394,157,114,159,2597,15,323,2526,2920
10,Goa,2001,01. Rape,10,1,14,0,10,0,15,0,5,8,47,53,12,14,20,0,0,67,12,0,14,15,22,9,7,55,1,34,74,89
11,Gujarat,2001,01. Rape,150,10,288,7,26,10,298,1,24,47,1948,1843,286,288,176,0,0,2131,223,10,401,411,32,41,31,3211,0,255,3065,3476
12,Haryana,2001,01. Rape,291,6,341,1,94,54,347,0,22,25,636,681,398,341,385,0,0,1022,443,1,539,519,126,17,35,1020,2,569,1071,1590
13,Himachal Pradesh,2001,01. Rape,75,0,110,0,30,25,110,0,35,46,389,384,124,110,105,0,0,494,110,0,152,146,36,49,51,675,4,146,675,821
14,Jammu & Kashmir,2001,01. Rape,98,4,147,5,7,26,151,0,49,57,570,533,169,147,105,0,0,680,132,5,222,225,8,3,0,909,0,140,829,1054
15,Jharkhand,2001,01. Rape,236,49,404,0,99,11,453,0,185,82,1034,965,567,404,335,0,0,1369,267,15,637,885,114,345,62,1255,35,381,766,1651
16,Karnataka,2001,01. Rape,154,17,271,8,41,24,288,4,99,122,1132,1064,293,271,195,0,0,1335,280,9,361,372,48,129,94,1609,24,328,1574,1946
17,Kerala,2001,01. Rape,111,11,510,3,32,22,521,10,505,496,2190,1826,562,510,143,0,0,2336,136,6,712,673,33,546,572,2919,13,169,2421,3094
18,Lakshadweep,2001,01. Rape,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1
19,Madhya Pradesh,2001,01. Rape,2052,188,2616,25,589,16,2804,9,261,264,6721,6771,2851,2616,2641,0,25,9387,2285,9,3212,3199,720,132,140,8829,5,3005,8644,11843
20,Maharashtra,2001,01. Rape,727,21,1289,17,125,20,1310,0,230,258,9876,9456,1302,1289,852,0,0,10745,1085,17,1886,1915,155,323,265,14394,29,1240,13736,15651
21,Manipur,2001,01. Rape,1,20,4,0,0,0,24,0,33,37,39,36,20,4,1,0,0,40,1,0,17,4,0,22,15,64,20,1,61,65
